Words Removed, Accuracy
0,0.801926402
1,0.808594715
2,0.810323537
3,0.809088664
4,0.809088664
5,0.810570511
6,0.810323537
7,0.809088664
8,0.81106446
9,0.812546308
10,0.811558409
11,0.811558409
12,0.812052359
13,0.812546308
14,0.812793282
15,0.812299333
16,0.812793282
17,0.812546308
18,0.813040257
19,0.812546308
20,0.812546308
21,0.812052359
22,0.811558409
23,0.811805384
24,0.810817486
25,0.810817486
26,0.811311435
27,0.810817486
28,0.810570511
29,0.810323537
30,0.810323537
31,0.802420351
32,0.8029143
33,0.803161274
34,0.803408249
35,0.803408249
36,0.803655224
37,0.803408249
38,0.804396147
39,0.803902198
40,0.804396147
41,0.804396147
42,0.805384045
43,0.805877995
44,0.805877995
45,0.806124969
46,0.804890096
47,0.805137071
48,0.805877995
49,0.806371944
50,0.805137071
